Time,PeakPressure,ContactAreaPercent
2025-10-11 00:00:00,0,6
2025-10-11 00:00:00,197,32
2025-10-11 00:00:00,255,21
2025-10-11 00:00:00,255,25
2025-10-11 00:00:00,255,29
2025-10-12 00:00:00,181,11
2025-10-12 00:00:00,251,24
2025-10-12 00:00:00,255,32
2025-10-12 00:00:00,255,23
2025-10-12 00:00:00,255,41
2025-10-13 00:00:00,244,20
2025-10-13 00:00:00,151,24
2025-10-13 00:00:00,255,30
2025-10-13 00:00:00,255,31
2025-10-13 00:00:00,255,40
2025-11-21 00:00:00,0,0
2025-11-21 00:00:00,0,0
2025-11-21 00:00:00,0,0
2025-11-21 00:00:00,255,3
